,type,ref,X,step,master
0,UNSET,-1,[-0.0002  0.      0.    ],0,
1,UNSET,-1,[0. 0. 0.],0,
2,UNSET,-1,[0.0002 0.     0.    ],0,
3,UNSET,-1,[-0.0002  0.      0.0002],0,
4,INTERNAL,-1,[0.     0.     0.0002],0,
5,UNSET,-1,[0.0002 0.     0.0002],0,
6,UNSET,-1,[-0.0002  0.      0.0004],0,
7,UNSET,-1,[0.     0.     0.0004],0,
8,UNSET,-1,[0.0002 0.     0.0004],0,
9,UNSET,-1,[-0.0002  0.0004  0.    ],0,
10,UNSET,-1,[0.     0.0004 0.    ],0,
11,UNSET,-1,[0.0002 0.0004 0.    ],0,
12,UNSET,-1,[-0.0002  0.0004  0.0002],0,
13,INTERNAL,-1,[0.     0.0004 0.0002],0,
14,UNSET,-1,[0.0002 0.0004 0.0002],0,
15,UNSET,-1,[-0.0002  0.0004  0.0004],0,
16,UNSET,-1,[0.     0.0004 0.0004],0,
17,UNSET,-1,[0.0002 0.0004 0.0004],0,
18,UNSET,-1,[-0.0002  0.0008  0.    ],0,
19,UNSET,-1,[0.     0.0008 0.    ],0,
20,UNSET,-1,[0.0002 0.0008 0.    ],0,
21,UNSET,-1,[-0.0002  0.0008  0.0002],0,
22,INTERNAL,-1,[0.     0.0008 0.0002],0,
23,UNSET,-1,[0.0002 0.0008 0.0002],0,
24,UNSET,-1,[-0.0002  0.0008  0.0004],0,
25,UNSET,-1,[0.     0.0008 0.0004],0,
26,UNSET,-1,[0.0002 0.0008 0.0004],0,
27,UNSET,-1,[-0.0002  0.0012  0.    ],1,
28,UNSET,-1,[0.     0.0012 0.    ],1,
29,UNSET,-1,[0.0002 0.0012 0.    ],1,
30,UNSET,-1,[-0.0002  0.0012  0.0002],1,
31,INTERNAL,-1,[0.     0.0012 0.0002],1,
32,UNSET,-1,[0.0002 0.0012 0.0002],1,
33,UNSET,-1,[-0.0002  0.0012  0.0004],1,
34,UNSET,-1,[0.     0.0012 0.0004],1,
35,UNSET,-1,[0.0002 0.0012 0.0004],1,
36,UNSET,-1,[-0.0002  0.0016  0.    ],1,
37,UNSET,-1,[0.     0.0016 0.    ],1,
38,UNSET,-1,[0.0002 0.0016 0.    ],1,
39,UNSET,-1,[-0.0002  0.0016  0.0002],1,
40,INTERNAL,-1,[0.     0.0016 0.0002],1,
41,UNSET,-1,[0.0002 0.0016 0.0002],1,
42,UNSET,-1,[-0.0002  0.0016  0.0004],1,
43,UNSET,-1,[0.     0.0016 0.0004],1,
44,UNSET,-1,[0.0002 0.0016 0.0004],1,
45,UNSET,-1,[0.0002 0.0016 0.0004],3,
46,UNSET,-1,[0.     0.0016 0.0004],3,
47,UNSET,-1,[-0.0002  0.0016  0.0004],3,
48,UNSET,-1,[0.0002 0.0016 0.0006],3,
49,INTERNAL,-1,[0.     0.0016 0.0006],3,
50,UNSET,-1,[-0.0002  0.0016  0.0006],3,
51,UNSET,-1,[0.0002 0.0016 0.0008],3,
52,UNSET,-1,[0.     0.0016 0.0008],3,
53,UNSET,-1,[-0.0002  0.0016  0.0008],3,
54,UNSET,-1,[0.0002 0.0012 0.0004],3,
55,UNSET,-1,[-4.8985872e-20  1.2000000e-03  4.0000000e-04],3,
56,UNSET,-1,[-0.0002  0.0012  0.0004],3,
57,UNSET,-1,[0.0002 0.0012 0.0006],3,
58,INTERNAL,-1,[-4.8985872e-20  1.2000000e-03  6.0000000e-04],3,
59,UNSET,-1,[-0.0002  0.0012  0.0006],3,
60,UNSET,-1,[0.0002 0.0012 0.0008],3,
61,UNSET,-1,[-4.8985872e-20  1.2000000e-03  8.0000000e-04],3,
62,UNSET,-1,[-0.0002  0.0012  0.0008],3,
63,UNSET,-1,[0.0002 0.0008 0.0004],3,
64,UNSET,-1,[-9.79717439e-20  8.00000000e-04  4.00000000e-04],3,
65,UNSET,-1,[-0.0002  0.0008  0.0004],3,
66,UNSET,-1,[0.0002 0.0008 0.0006],3,
67,INTERNAL,-1,[-9.79717439e-20  8.00000000e-04  6.00000000e-04],3,
68,UNSET,-1,[-0.0002  0.0008  0.0006],3,
69,UNSET,-1,[0.0002 0.0008 0.0008],3,
70,UNSET,-1,[-9.79717439e-20  8.00000000e-04  8.00000000e-04],3,
71,UNSET,-1,[-0.0002  0.0008  0.0008],3,
72,UNSET,-1,[0.0002 0.0004 0.0004],4,
73,UNSET,-1,[-1.46957616e-19  4.00000000e-04  4.00000000e-04],4,
74,UNSET,-1,[-0.0002  0.0004  0.0004],4,
75,UNSET,-1,[0.0002 0.0004 0.0006],4,
76,INTERNAL,-1,[-1.46957616e-19  4.00000000e-04  6.00000000e-04],4,
77,UNSET,-1,[-0.0002  0.0004  0.0006],4,
78,UNSET,-1,[0.0002 0.0004 0.0008],4,
79,UNSET,-1,[-1.46957616e-19  4.00000000e-04  8.00000000e-04],4,
80,UNSET,-1,[-0.0002  0.0004  0.0008],4,
81,UNSET,-1,[2.00000000e-04 8.39272813e-20 4.00000000e-04],4,
82,UNSET,-1,[-1.95943488e-19  1.08420217e-19  4.00000000e-04],4,
83,UNSET,-1,[-2.00000000e-04  1.32913153e-19  4.00000000e-04],4,
84,UNSET,-1,[2.00000000e-04 8.39272813e-20 6.00000000e-04],4,
85,INTERNAL,-1,[-1.95943488e-19  1.08420217e-19  6.00000000e-04],4,
86,UNSET,-1,[-2.00000000e-04  1.32913153e-19  6.00000000e-04],4,
87,UNSET,-1,[2.00000000e-04 8.39272813e-20 8.00000000e-04],4,
88,UNSET,-1,[-1.95943488e-19  1.08420217e-19  8.00000000e-04],4,
89,UNSET,-1,[-2.00000000e-04  1.32913153e-19  8.00000000e-04],4,
